Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age in Days
A851070,*Grady,02/15/2022 03:05:00 PM,Feb 2022,02/05/2015,Adoption,Foster,2,2,7 years,Labrador Retriever Mix,Silver,0.30303030303030304
A808862,Big Papi,11/18/2019 12:23:00 PM,Nov 2019,11/14/2018,Transfer,Partner,2,1,1 year,Miniature Poodle Mix,Apricot,0.12121212121212122
A707253,Goowa,01/29/2016 04:57:00 PM,Jan 2016,07/10/2012,Transfer,Partner,2,2,3 years,Pit Bull Mix,Apricot/Brown,0.18181818181818182
A651995,*Sugar,07/02/2018 03:34:00 PM,Jul 2018,10/18/2011,Adoption,Foster,2,3,6 years,Staffordshire Mix,Brown/White,0.2727272727272727
A878874,A878874,04/22/2023 10:44:00 AM,Apr 2023,04/18/2022,Died,In Kennel,0,4,1 year,Parakeet,Green,0.12121212121212122
A725540,*Tiny,05/02/2016 01:32:00 PM,May 2016,04/08/2016,Transfer,Partner,1,1,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.09265255292652554
A885377,*Trent,08/12/2023 01:48:00 PM,Aug 2023,06/12/2023,Adoption,Foster,1,2,1 month,Domestic Shorthair,Black/White,0.09339975093399751
A839198,A839198,08/06/2021 01:07:00 PM,Aug 2021,06/08/2021,Adoption,Foster,2,3,1 month,German Shepherd,Black/Tan,0.09339975093399751
A739966,*Skippyjohn,02/10/2017 07:34:00 AM,Feb 2017,11/09/2016,Adoption,Foster,1,2,3 months,Siamese Mix,Seal Point,0.09838107098381071
A729355,*Bridget,06/24/2016 02:31:00 PM,Jun 2016,02/11/2016,Transfer,Partner,1,0,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby,0.10087173100871731
A897901,213 Grams,02/08/2024 06:49:00 PM,Feb 2024,01/12/2024,Transfer,Partner,1,1,3 weeks,Domestic Shorthair,Lynx Point/White,0.09265255292652554
A788817,*Latte,11/06/2021 11:55:00 AM,Nov 2021,04/09/2018,Transfer,Partner,2,3,3 years,Staffordshire Mix,Fawn/White,0.18181818181818182
A726716,*Montana,12/20/2016 09:59:00 AM,Dec 2016,05/13/2015,Adoption,Foster,2,2,1 year,Pit Bull Mix,Brown Brindle/White,0.12121212121212122
A856357,*Manon,06/09/2022 09:08:00 AM,Jun 2022,03/27/2022,Adoption,Foster,1,3,2 months,Domestic Shorthair,Black,0.09589041095890412
A810834,Amigo,01/14/2020 01:54:00 PM,Jan 2020,12/21/2017,Transfer,Partner,2,2,2 years,Pit Bull/Australian Cattle Dog,Chocolate/Tan,0.15151515151515152
A661916,Bella,04/02/2014 05:42:00 PM,Apr 2014,08/27/2011,Euthanasia,Aggressive,2,3,2 years,Pit Bull Mix,White/Brown,0.15151515151515152
A783891,Elizabeth T,01/16/2019 11:28:00 AM,Jan 2019,11/08/2015,Adoption,Foster,2,3,3 years,Border Terrier,Black/Tan,0.18181818181818182
A842461,*Ruby,10/27/2021 09:50:00 AM,Oct 2021,08/05/2021,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Tortie,0.09589041095890412
A681272,Chucky,06/17/2014 01:29:00 PM,Jun 2014,06/14/2011,Transfer,Partner,2,2,3 years,Chihuahua Shorthair Mix,Brown,0.18181818181818182
A676139,*Iona,03/08/2017 07:51:00 AM,Mar 2017,04/09/2008,Adoption,Foster,1,3,8 years,Domestic Shorthair Mix,Brown Tabby/White,0.33333333333333337
A880459,*Lapis,07/20/2023 09:48:00 AM,Jul 2023,03/28/2023,Adoption,Foster,1,2,3 months,Russian Blue Mix,Blue,0.09838107098381071
A698183,*Eleanor,03/12/2015 04:13:00 PM,Mar 2015,03/06/2013,Euthanasia,Suffering,2,0,2 years,Pit Bull Mix,Brown Brindle,0.15151515151515152
A662741,*Todd,10/05/2013 12:42:00 PM,Oct 2013,08/11/2013,Transfer,Partner,1,1,1 month,Domestic Shorthair Mix,Black,0.09339975093399751
A796941,*Carrot,08/03/2019 02:40:00 PM,Aug 2019,04/27/2019,Adoption,Foster,1,2,3 months,Domestic Shorthair,Cream Tabby,0.09838107098381071
A883581,*Parfait,07/22/2023 01:05:00 PM,Jul 2023,05/09/2023,Adoption,Foster,1,3,2 months,Domestic Shorthair,Tortie,0.09589041095890412
A731104,*Zakarin,09/20/2016 11:28:00 AM,Sep 2016,04/20/2016,Adoption,Foster,1,2,5 months,Domestic Shorthair Mix,Orange Tabby,0.10336239103362391
A872867,*Ken,08/01/2023 03:55:00 PM,Aug 2023,01/17/2020,Adoption,Foster,2,2,3 years,Pit Bull,Blue/White,0.18181818181818182
A845878,*Bruce,01/19/2022 03:25:00 PM,Jan 2022,10/05/2021,Adoption,Foster,1,2,3 months,Domestic Shorthair,Blue,0.09838107098381071
A803510,Rocky,09/03/2019 11:56:00 AM,Sep 2019,03/02/2018,Transfer,Partner,2,1,1 year,Yorkshire Terrier Mix,Black/Tan,0.12121212121212122
A732051,*Cinnamon,08/08/2016 03:12:00 PM,Aug 2016,06/24/2016,Transfer,Partner,1,0,1 month,Domestic Shorthair Mix,Torbie,0.09339975093399751
A743602,*Dodger,02/14/2017 02:46:00 PM,Feb 2017,05/01/2016,Transfer,Partner,3,1,9 months,Guinea Pig Mix,Tricolor,0.11332503113325032
A776224,Taylor,07/12/2018 07:02:00 PM,Jul 2018,09/26/2011,Transfer,Partner,2,3,6 years,Shiba Inu Mix,Tan,0.2727272727272727
A877319,Tucker,09/26/2023 11:07:00 AM,Sep 2023,03/25/2021,Adoption,Foster,2,2,2 years,Soft Coated Wheaten Terrier Mix,White/White,0.15151515151515152
A839879,*Winnie,09/09/2021 11:55:00 AM,Sep 2021,08/05/2020,Transfer,Out State,2,3,1 year,Labrador Retriever/Beagle,Black/White,0.12121212121212122
A819694,Zoey,07/12/2020 01:42:00 PM,Jul 2020,03/12/2020,Transfer,Partner,2,0,4 months,Yorkshire Terrier Mix,Black/White,0.10087173100871731
A909196,Pinguino,07/15/2024 08:24:00 AM,Jul 2024,03/11/2024,Transfer,Snr,1,1,4 months,Domestic Medium Hair,Black/White,0.10087173100871731
A773488,*O'Malley,07/25/2018 06:31:00 AM,Jul 2018,04/29/2018,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby/White,0.09589041095890412
A794662,Sam,01/27/2022 12:41:00 PM,Jan 2022,05/10/2016,Adoption,Foster,1,2,5 years,Domestic Shorthair,Brown Tabby/White,0.24242424242424243
A716395,*Jenny,11/28/2015 05:27:00 PM,Nov 2015,11/19/2013,Transfer,Partner,2,0,2 years,Pit Bull Mix,Fawn/White,0.15151515151515152
A785562,Lobo,07/05/2024 05:33:00 PM,Jul 2024,12/05/2013,Return to Owner,Field,2,2,10 years,Boxer Mix,Black,0.3939393939393939
A705337,Haylie,08/15/2017 12:43:00 PM,Aug 2017,06/16/2013,Adoption,Foster,2,3,4 years,Pit Bull Mix,Tan/White,0.21212121212121213
A904175,350 Grams,05/07/2024 05:01:00 PM,May 2024,04/15/2024,Transfer,Partner,1,1,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.09265255292652554
A832041,Tiny,04/17/2021 12:33:00 PM,Apr 2021,04/06/2019,Adoption,Offsite,2,3,2 years,Labrador Retriever Mix,Black,0.15151515151515152
A883694,520 Grams,06/22/2023 01:09:00 PM,Jun 2023,06/17/2023,Transfer,Partner,2,0,5 days,Pit Bull,Cream/White,0.09132420091324202
A664356,Azul,10/03/2013 04:37:00 PM,Oct 2013,03/03/2013,Transfer,Partner,2,1,7 months,Pit Bull Mix,Blue/White,0.10834371108343711
A702402,*Tic,07/08/2015 08:55:00 AM,Jul 2015,04/06/2015,Adoption,Foster,1,2,3 months,Domestic Shorthair Mix,Orange Tabby/White,0.09838107098381071
A711356,J.D.,09/11/2015 01:50:00 PM,Sep 2015,09/05/2009,Transfer,Partner,2,2,6 years,Labrador Retriever Mix,Chocolate,0.2727272727272727
A671609,Wilson,07/02/2015 11:04:00 AM,Jul 2015,01/28/2013,Transfer,Partner,2,2,2 years,Labrador Retriever,Tan/White,0.15151515151515152
A868958,*Draper,01/07/2023 10:08:00 AM,Jan 2023,06/10/2022,Adoption,Foster,2,2,6 months,Australian Cattle Dog Mix,Brown/White,0.10585305105853052
A849152,Bruno,03/11/2022 01:57:00 PM,Mar 2022,01/03/2020,Transfer,Partner,2,2,2 years,Pit Bull Mix,Brown Brindle/White,0.15151515151515152
A906689,Smokey Joe,09/24/2024 02:32:00 PM,Sep 2024,06/06/2015,Transfer,Partner,1,2,9 years,Domestic Shorthair,Blue,0.36363636363636365
A827274,*Fizzle,12/30/2020 03:24:00 PM,Dec 2020,09/02/2020,Transfer,Partner,1,3,3 months,Domestic Shorthair Mix,Blue Tabby,0.09838107098381071
A799811,Angel,10/22/2019 08:21:00 AM,Oct 2019,07/12/2012,Adoption,Foster,2,3,7 years,Chihuahua Shorthair,Cream,0.30303030303030304
A742748,Elsie,06/23/2018 08:45:00 PM,Jun 2018,01/27/2007,Adoption,Foster,1,3,11 years,Domestic Shorthair Mix,White/Black,0.4242424242424243
A774643,Molly,06/22/2018 12:27:00 PM,Jun 2018,02/03/2018,Transfer,Partner,2,0,4 months,Miniature Schnauzer Mix,Brown,0.10087173100871731
A884879,Charlie,08/08/2023 11:08:00 AM,Aug 2023,01/10/2022,Adoption,Foster,1,2,1 year,Domestic Shorthair,White/Brown Tabby,0.12121212121212122
A793783,Spinner,07/13/2019 02:54:00 PM,Jul 2019,04/20/2019,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A692379,Maunster,12/20/2014 05:23:00 PM,Dec 2014,10/19/2014,Adoption,Foster,2,2,2 months,German Shepherd/Labrador Retriever,Tan,0.09589041095890412
A823496,*Rigatoni,11/03/2020 09:15:00 AM,Nov 2020,08/17/2020,Adoption,Foster,1,2,2 months,Domestic Medium Hair,Black/White,0.09589041095890412
A736505,Tommy,11/20/2016 05:44:00 PM,Nov 2016,09/19/2016,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A754796,*Guppy,09/30/2017 09:51:00 AM,Sep 2017,06/30/2017,Adoption,Foster,1,3,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.09838107098381071
A714226,Lars,10/26/2015 12:00:00 AM,Oct 2015,10/24/2008,Transfer,Partner,2,1,7 years,Yorkshire Terrier Mix,Black/Brown,0.30303030303030304
A848012,Zeus,12/16/2021 04:34:00 PM,Dec 2021,12/13/2014,Transfer,Out State,2,2,7 years,Chihuahua Shorthair Mix,Tricolor,0.30303030303030304
A787336,*Genevieve,03/25/2019 06:19:00 PM,Mar 2019,01/11/2017,Adoption,Foster,2,3,2 years,Pit Bull Mix,Blue/White,0.15151515151515152
A816306,*Jelly Bean,06/17/2020 01:23:00 PM,Jun 2020,04/12/2020,Adoption,Foster,1,2,2 months,Domestic Shorthair,Black,0.09589041095890412
A787658,*Fergus,03/11/2019 12:00:00 AM,Mar 2019,01/17/2017,Transfer,Partner,1,2,2 years,Domestic Shorthair Mix,Black,0.15151515151515152
A857610,*Maple,06/25/2022 12:38:00 PM,Jun 2022,04/18/2022,Adoption,Foster,1,3,2 months,Domestic Longhair,Black,0.09589041095890412
A749133,*Cowboy,08/01/2020 08:12:00 AM,Aug 2020,04/05/2017,Adoption,Foster,1,3,3 years,Domestic Shorthair Mix,White/Black,0.18181818181818182
A795431,*Maggie,05/29/2019 02:25:00 PM,May 2019,05/20/2011,Transfer,Partner,2,0,8 years,Wire Hair Fox Terrier Mix,Tricolor,0.33333333333333337
A911802,Kitten 2,08/22/2024 01:38:00 PM,Aug 2024,08/02/2024,Transfer,Partner,1,0,2 weeks,Domestic Shorthair,Blue/White,0.09207139892071399
A861562,*Pandora,07/20/2022 09:15:00 AM,Jul 2022,07/14/2020,Transfer,Out State,2,0,2 years,Chihuahua Shorthair Mix,Black/Tan,0.15151515151515152
A836159,*Morgan,06/30/2021 02:41:00 PM,Jun 2021,12/07/2019,Adoption,Foster,2,3,1 year,Australian Cattle Dog,Blue Tick,0.12121212121212122
A823494,*Macaroni,11/03/2020 09:13:00 AM,Nov 2020,08/17/2020,Adoption,Foster,1,3,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A765588,*Clarke,01/24/2018 10:12:00 AM,Jan 2018,12/15/2017,Transfer,Partner,2,0,1 month,Chihuahua Shorthair Mix,Brown,0.09339975093399751
A706159,Junebug,07/31/2015 02:01:00 PM,Jul 2015,06/25/2014,Adoption,Foster,2,0,1 year,Border Collie/Whippet,Black/White,0.12121212121212122
A834933,*Salsa,05/30/2021 01:01:00 PM,May 2021,03/20/2021,Euthanasia,Suffering,1,0,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A749348,*Toby,07/12/2017 09:48:00 AM,Jul 2017,05/04/2017,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.09589041095890412
A799980,Chikis,07/23/2019 05:24:00 PM,Jul 2019,05/15/2013,Transfer,Partner,2,3,6 years,Chihuahua Shorthair Mix,Black/White,0.2727272727272727
A665095,Paddy,10/18/2013 01:23:00 PM,Oct 2013,10/17/2009,Transfer,Partner,2,2,4 years,Dachshund Mix,Red/Buff,0.21212121212121213
A790785,Bingo,05/26/2020 01:50:00 PM,May 2020,03/16/2018,Adoption,Foster,2,2,2 years,German Shepherd Mix,Black/Brown,0.15151515151515152
A703672,*Chillon,04/13/2016 12:00:00 AM,Apr 2016,04/01/2015,Transfer,Partner,1,2,1 year,Domestic Shorthair Mix,Brown Tabby,0.12121212121212122
A827315,Atticus,01/27/2021 01:11:00 PM,Jan 2021,12/18/2011,Adoption,Foster,2,2,9 years,Labrador Retriever,Chocolate,0.36363636363636365
A854620,Bella,04/23/2022 12:00:00 AM,Apr 2022,04/06/2015,Died,Emergency,2,3,7 years,Pit Bull Mix,Brown Brindle/White,0.30303030303030304
A749609,*Emmy Lou,07/21/2017 10:12:00 AM,Jul 2017,05/16/2017,Adoption,Foster,2,3,2 months,Labrador Retriever Mix,Black/Brown,0.09589041095890412
A754540,*Lily,12/20/2017 07:31:00 AM,Dec 2017,09/18/2010,Adoption,Foster,2,3,7 years,Labrador Retriever Mix,Yellow,0.30303030303030304
A849550,*Joy,01/14/2022 01:05:00 PM,Jan 2022,05/10/2021,Transfer,Partner,2,0,8 months,Cardigan Welsh Corgi/Queensland Heeler,Tan,0.11083437110834371
A678167,Leah,05/12/2014 02:38:00 PM,May 2014,05/05/2013,Transfer,Partner,2,3,1 year,German Shepherd Mix,Black/Tan,0.12121212121212122
A859949,*Cuthbert,07/14/2022 08:43:00 AM,Jul 2022,03/21/2022,Transfer,Out State,1,1,3 months,Domestic Shorthair Mix,Black,0.09838107098381071
A668325,Beau,12/06/2013 01:55:00 PM,Dec 2013,08/02/2013,Transfer,Partner,2,1,4 months,Greyhound,Tan/White,0.10087173100871731
A692842,Caramel,12/04/2014 12:33:00 PM,Dec 2014,04/26/2014,Transfer,Partner,1,3,7 months,Domestic Shorthair Mix,Orange Tabby,0.10834371108343711
A817291,*Sunny,08/08/2020 08:43:00 AM,Aug 2020,04/19/2020,Adoption,Foster,1,3,3 months,Domestic Shorthair,Brown Tabby,0.09838107098381071
A777801,Nino,08/07/2018 12:00:00 AM,Aug 2018,08/03/2013,Transfer,Partner,2,1,5 years,Chihuahua Longhair Mix,Brown,0.24242424242424243
A645112,Sherlock,10/27/2016 03:24:00 PM,Oct 2016,01/03/2003,Transfer,Partner,1,2,13 years,Domestic Shorthair Mix,Silver Tabby,0.48484848484848486
A715038,*Melvin,11/09/2015 12:38:00 PM,Nov 2015,10/31/2008,Transfer,Partner,2,1,7 years,Rat Terrier Mix,White/Black,0.30303030303030304
A489503,Dezi,09/21/2014 04:26:00 PM,Sep 2014,05/15/2007,Euthanasia,Suffering,1,3,7 years,Domestic Shorthair Mix,White/Brown Tabby,0.30303030303030304
A790748,Buzz,05/08/2020 10:43:00 AM,May 2020,03/15/2018,Adoption,Foster,2,2,2 years,Labrador Retriever Mix,Black,0.15151515151515152
A844188,*Dakota,11/01/2021 01:10:00 PM,Nov 2021,10/13/2018,Transfer,Out State,2,0,3 years,German Shepherd Mix,Tan/Black,0.18181818181818182
A677835,*Suzette,07/12/2014 11:41:00 AM,Jul 2014,04/29/2013,Adoption,Foster,1,3,1 year,Domestic Shorthair Mix,Torbie,0.12121212121212122
A872955,*Murray,03/12/2023 04:56:00 PM,Mar 2023,01/11/2023,Adoption,Foster,2,2,1 month,Labrador Retriever,Black/White,0.09339975093399751
A817618,Pepper,06/24/2020 10:19:00 AM,Jun 2020,04/13/2020,Adoption,Foster,1,3,2 months,Domestic Shorthair,Blue/White,0.09589041095890412
A782816,Prudence,10/21/2018 06:33:00 PM,Oct 2018,03/21/2014,Transfer,Partner,2,0,4 years,Boxer Mix,Brown/White,0.21212121212121213
A691180,*Samson,11/09/2014 02:36:00 PM,Nov 2014,10/31/2010,Transfer,Partner,2,1,4 years,Pit Bull Mix,Black/White,0.21212121212121213
A702260,Bella,05/12/2015 05:51:00 PM,May 2015,05/11/2011,Transfer,Partner,3,0,4 years,Guinea Pig Mix,Brown/Orange,0.21212121212121213
A785924,*Peaches,01/29/2019 12:06:00 PM,Jan 2019,12/12/2017,Transfer,Partner,2,0,1 year,Pit Bull Mix,Fawn/White,0.12121212121212122
A755439,*Jasper,09/15/2017 03:14:00 PM,Sep 2017,07/21/2017,Adoption,Foster,1,2,1 month,Domestic Shorthair Mix,Brown Tabby/White,0.09339975093399751
A863983,285 Grams,08/18/2022 06:21:00 PM,Aug 2022,07/27/2022,Transfer,Partner,1,1,3 weeks,Domestic Shorthair,Black/White,0.09265255292652554
A794777,Rajah,08/22/2021 02:47:00 PM,Aug 2021,05/12/2017,Transfer,Partner,2,2,4 years,Australian Kelpie Mix,Black Brindle,0.21212121212121213
A803559,*Lima Bean,01/02/2020 12:13:00 PM,Jan 2020,09/03/2011,Adoption,Foster,2,3,8 years,Labrador Retriever/Border Collie,Black/White,0.33333333333333337
A740606,Gachupin,12/20/2016 03:35:00 PM,Dec 2016,04/20/2016,Died,In Kennel,2,1,8 months,Chihuahua Shorthair Mix,Red/White,0.11083437110834371
A682183,Roger Roger,04/13/2015 04:01:00 PM,Apr 2015,06/25/2012,Transfer,Partner,2,2,2 years,Pit Bull Mix,Blue/White,0.15151515151515152
A678485,Money,05/09/2014 04:16:00 PM,May 2014,05/09/2000,Euthanasia,Suffering,2,1,14 years,Pit Bull Mix,Brown Brindle,0.5151515151515151
A806621,*Boo,10/22/2019 03:17:00 PM,Oct 2019,07/13/2019,Transfer,Partner,1,1,3 months,Domestic Shorthair Mix,Black,0.09838107098381071
A885562,*Knox,08/12/2023 03:28:00 PM,Aug 2023,02/21/2023,Transfer,Partner,2,2,5 months,German Shepherd Mix,Black/Brown,0.10336239103362391
A688196,Max,09/16/2014 12:20:00 PM,Sep 2014,09/16/2005,Euthanasia,Suffering,2,2,9 years,Jack Russell Terrier Mix,Chocolate/White,0.36363636363636365
A796408,*Elmer,06/08/2019 04:37:00 PM,Jun 2019,04/22/2019,Died,In Kennel,1,1,1 month,Domestic Shorthair,Blue,0.09339975093399751
A803247,*Moxie,09/02/2019 05:12:00 PM,Sep 2019,08/29/2010,Transfer,Partner,2,0,9 years,Chihuahua Shorthair,Black/White,0.36363636363636365
A855454,A855453,04/22/2022 12:00:00 AM,Apr 2022,04/18/2020,Euthanasia,Suffering,1,1,2 years,Domestic Shorthair,Orange Tabby/White,0.15151515151515152
A717665,Rocky,07/03/2019 08:31:00 AM,Jul 2019,12/12/2007,Adoption,Foster,2,2,11 years,Boxer/Chinese Sharpei,Brown Brindle/Black,0.4242424242424243
A474506,Amaya,06/29/2021 08:26:00 AM,Jun 2021,06/07/2006,Adoption,Foster,2,3,15 years,Pit Bull/German Shepherd,Tan,0.5454545454545455
A722917,*Brook,09/30/2016 12:51:00 PM,Sep 2016,03/24/2014,Adoption,Foster,2,3,2 years,Labrador Retriever Mix,Black/White,0.15151515151515152
A713610,Poppi,10/16/2015 12:00:00 AM,Oct 2015,07/09/2014,Transfer,Partner,2,3,1 year,Labrador Retriever/Border Collie,Black/White,0.12121212121212122
A731663,*Onyx,09/14/2016 02:13:00 PM,Sep 2016,06/29/2016,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A775647,*Gigi,09/11/2018 01:03:00 PM,Sep 2018,07/02/2018,Adoption,Foster,2,3,2 months,Cairn Terrier Mix,Tan,0.09589041095890412
A723585,*Pee Wee,09/30/2016 01:16:00 PM,Sep 2016,02/19/2016,Adoption,Foster,1,2,7 months,Domestic Shorthair Mix,Black,0.10834371108343711
A648168,Rusty,02/04/2016 03:00:00 PM,Feb 2016,03/23/2006,Adoption,Foster,2,2,9 years,Chihuahua Shorthair Mix,Tan,0.36363636363636365
A904288,*Rose,07/17/2024 05:34:00 PM,Jul 2024,04/08/2024,Adoption,Foster,1,3,3 months,Domestic Shorthair,Black,0.09838107098381071
A701643,*Chip,09/28/2015 03:03:00 PM,Sep 2015,03/04/2015,Transfer,Partner,1,2,6 months,Domestic Shorthair Mix,Brown Tabby,0.10585305105853052
A679572,*Beau,06/19/2014 06:13:00 PM,Jun 2014,04/23/2014,Adoption,Foster,1,2,1 month,Domestic Medium Hair Mix,Brown Tabby,0.09339975093399751
A689215,*Shiela,10/08/2014 04:00:00 PM,Oct 2014,04/15/2014,Transfer,Partner,2,0,5 months,Australian Cattle Dog Mix,Red/White,0.10336239103362391
A681352,*Charlotte,07/12/2014 07:46:00 PM,Jul 2014,04/30/2014,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Blue Tabby,0.09589041095890412
A889005,*Ferdinand,10/21/2023 02:53:00 PM,Oct 2023,08/15/2023,Adoption,Foster,2,2,2 months,Pit Bull/Australian Cattle Dog,Black/White,0.09589041095890412
A669986,Kimmie,02/24/2014 10:22:00 AM,Feb 2014,12/31/2000,Died,Enroute,1,3,13 years,Domestic Medium Hair Mix,Brown Tabby,0.48484848484848486
A705868,Izzy,07/24/2015 01:55:00 PM,Jul 2015,12/31/2014,Adoption,Foster,2,2,6 months,Golden Retriever Mix,Red,0.10585305105853052
A908844,Frank,07/19/2024 11:07:00 AM,Jul 2024,07/06/2023,Transfer,Snr,1,2,1 year,Domestic Shorthair,Brown Tabby,0.12121212121212122
A569198,Bevo,02/21/2017 04:24:00 PM,Feb 2017,03/23/2006,Transfer,Partner,2,2,10 years,Golden Retriever Mix,Buff,0.3939393939393939
A707744,Music,07/25/2015 11:40:00 AM,Jul 2015,05/17/2015,Transfer,Partner,2,0,2 months,Great Pyrenees/Labrador Retriever,White,0.09589041095890412
A712384,*Cassiopeia,10/01/2015 11:49:00 AM,Oct 2015,08/07/2015,Transfer,Partner,1,0,1 month,Domestic Shorthair Mix,Tortie,0.09339975093399751
A860946,*Captain America,07/20/2022 08:55:00 AM,Jul 2022,05/22/2022,Transfer,Out State,2,1,1 month,Australian Shepherd Mix,Black,0.09339975093399751
A800666,*Odin,08/04/2019 01:56:00 PM,Aug 2019,06/15/2019,Transfer,Partner,1,1,1 month,Domestic Shorthair,Orange Tabby/White,0.09339975093399751
